ID,Population,Treatment,Timepoint,SVL_Capture,Capture_Mass,Experiment_Mass,Experiment_SVL,MR_Tb,Hct,Hb,VCO2_Max,TimetoExhaustion
174,Aubert,Hypoxia,T1,65.21,8.11,7.22,66.25,.,0.33819,.,.,.
174,Aubert,Hypoxia,T2,65.21,8.11,7.21,67.49,.,0.32366,84.17701458,.,77.16
174,Aubert,Hypoxia,T3,65.21,8.11,7.25,69.4,.,0.35612,80.17861375,.,124.64
172,Aubert,Hypoxia,T1,62.52,6.4,5.34,61.53,.,0.4232,.,.,.
172,Aubert,Hypoxia,T2,62.52,6.4,5.29,60.47,.,0.41123,94.94244583,.,73.16
172,Aubert,Hypoxia,T3,62.52,6.4,5.55,64.27,.,0.38212,98.231365,.,141.52
171,Lambege,Hypoxia,T1,62.08,6.41,6.45,64.52,.,0.39322,.,.,.
171,Lambege,Hypoxia,T2,62.08,6.41,6.16,62.48,.,0.39716,81.37647333,0.072,71.44
171,Lambege,Hypoxia,T3,62.08,6.41,6.12,65.63,.,.,.,.,.
170,Lambege,Hypoxia,T1,65.2,7.48,7.85,65.17,.,0.35119,.,.,.
170,Lambege,Hypoxia,T2,65.2,7.48,7.05,62.91,.,0.34712,71.92712,.,34.48
170,Lambege,Hypoxia,T3,65.2,7.48,7.26,66.07,.,0.38361,83.77470625,.,134.96
169,Lambege,Hypoxia,T1,62.88,7.3,6.78,62.04,.,0.30322,.,.,.
169,Lambege,Hypoxia,T2,62.88,7.3,6.99,63.94,.,0.34282,75.747375,.,77.48
169,Lambege,Hypoxia,T3,62.88,7.3,6.74,64.89,29.9,0.34418,69.84865125,0.096,105.8
168,Lambege,Hypoxia,T1,61.8,6.63,6.36,65,.,0.3909,.,.,.
168,Lambege,Hypoxia,T2,61.8,6.63,6.82,63.99,.,0.44044,98.72615,.,41.36
168,Lambege,Hypoxia,T3,61.8,6.63,6.92,64.82,.,0.39379,113.7576333,.,74.24
167,Aubert,Hypoxia,T1,66.91,7.12,7.48,66.6,.,0.34678,.,.,.
167,Aubert,Hypoxia,T2,66.91,7.12,6.66,64.82,.,0.29028,79.13422292,.,78
167,Aubert,Hypoxia,T3,66.91,7.12,7.06,67.82,29.9,0.44904,77.35565,0.082,110.84
166,Aubert,Hypoxia,T1,61.88,6.62,6.56,63.32,.,0.36957,.,.,.
166,Aubert,Hypoxia,T2,61.88,6.62,6.04,61.71,.,0.33342,79.46132292,0.08,102.52
166,Aubert,Hypoxia,T3,61.88,6.62,6.49,63.56,29.2,0.40606,97.017175,0.118,170.16
165,Lambege,Hypoxia,T1,72.57,7.49,7.76,69.06,.,0.37239,.,.,.
165,Lambege,Hypoxia,T2,72.57,7.49,7.56,67.04,.,0.3987,78.1335,.,87.04
165,Lambege,Hypoxia,T3,72.57,7.49,7.74,70.51,.,0.3499,88.32630667,.,143.24
164,Lambege,Hypoxia,T1,58.85,4.76,5.05,56.45,.,0.37139,.,.,.
164,Lambege,Hypoxia,T2,58.85,4.76,4.94,56.79,.,0.35432,85.39398125,0.053,110.48
164,Lambege,Hypoxia,T3,58.85,4.76,4.74,59.23,30.2,0.3442,110.2294138,0.048,126.64
163,Lambege,Hypoxia,T1,58.96,4.99,5.26,56.89,.,0.44106,.,.,.
163,Lambege,Hypoxia,T2,58.96,4.99,4.77,54.75,.,0.41302,88.86886,0.057,87.76
163,Lambege,Hypoxia,T3,58.96,4.99,4.73,59.81,30.2,0.38072,103.3018967,0.115,99.88
